"DOY" "Depth" "POP"
303 119.6 0.006
303 202.6 0.001
303 297 0.003
303 400.9 0.002
303 497.7 0.002
304 3.7 0.01
304 49.5 0.011
304 86.8 0.012
304 100.4 0.007
304 140.3 0.005
304 199.3 0.003
304 299.9 0.003
304 6.2 0.012
304 50 0.007
304 84.5 0.006
304 100.1 0.004
304 99.6 0.005
304 119.8 0.003
304 200.3 0.003
304 300.2 0.002
304 399 0.003
305 5.6 0.014
305 49.7 0.013
305 78.5 0.015
305 96.2 0.008
305 119.5 0.005
305 138.8 0.006
305 198 0.005
305 297.5 0.004
306 6.8 0.02
306 49.3 0.021
306 99.8 0.01
306 139.5 0.006
306 198.9 0.003
306 299.7 0.002
306 499.1 0.002
271 3.9 0.01
271 19.1 0.009
271 39.7 0.01
271 79.9 0.012
271 99.9 0.006
271 119.8 0.004
271 140.4 0.003
271 160.3 0.003
271 199.9 0.003
271 249.5 0.002
271 299.5 0.004
272 5.1 0.009
272 19.6 0.012
272 59.4 0.014
272 80.6 0.007
272 99.2 0.006
272 119.6 0.005
272 159.4 0.003
272 199.5 0.003
272 251.8 0.002
272 300.7 0.004
272 300.6 0.002
273 6.1 0.018
273 20.8 0.018
273 59.4 0.018
273 79.2 0.007
273 99.9 0.004
273 120.2 0.003
273 141.3 0.003
273 158.8 0.003
273 200.2 0.002
273 251.1 0.003
273 301.1 0.002
274 5.9 0.008
274 8.8 0.009
274 21.4 0.008
274 40.1 0.009
274 61.2 0.013
274 80.7 0.007
274 98.6 0.007
274 119.5 0.004
274 138.6 0.002
274 159.7 0.003
274 198.6 0.004
278 4.6 0.009
278 19.8 0.009
278 39.3 0.012
278 79.2 0.01
278 101.2 0.005
278 119.9 0.005
278 140.8 0.004
278 159.7 0.004
278 201.2 0.003
278 250.7 0.001
278 300.5 0.002
279 5.1 0.009
279 20.9 0.008
279 60.8 0.008
279 79.5 0.007
279 99.7 0.006
279 119.8 0.005
279 140.3 0.002
279 160.7 0.004
279 200.8 0.004
279 249.5 0.002
279 302.8 0.006
282 6.1 0.007
282 19.5 0.007
282 59.8 0.009
282 78.4 0.01
282 100.2 0.008
282 119.1 0.007
282 139.7 0.005
282 159.4 0.003
282 199.4 0.003
282 248.9 0.002
282 299.5 0.002
282 499.9 0.002
283 5.4 0.007
283 19.1 0.007
283 59.4 0.007
283 79.6 0.003
283 100.4 0.007
283 119.2 0.005
283 140.1 0.004
283 158.3 0.003
283 200.9 0.003
283 248.7 0.002
283 300.2 0.003
284 6.4 0.005
284 18.9 0.008
284 58.8 0.007
284 80.7 0.007
284 99.4 0.008
284 119.8 0.006
284 139.1 0.008
284 161.1 0.011
284 201.1 0.004
284 248.8 0.003
284 299.6 0.003
285 9.3 0.013
285 59.2 0.02
285 79.6 0.018
285 100 0.012
285 120.5 0.008
285 139.5 0.005
285 299.7 0.002
285 499.8 0.001
286 4.8 0.011
286 20.2 0.011
286 59.1 0.007
286 80.5 0.01
286 99.2 0.008
286 118.9 0.006
286 140.5 0.005
286 158.8 0.004
286 199.9 0.003
286 299.6 0.002
286 5.1 0.009
286 20.4 0.01
286 59.8 0.013
286 80 0.011
286 99.8 0.013
286 119.8 0.005
286 139.3 0.004
286 158.8 0.003
286 199.8 0.003
286 249.6 0.002
286 298.8 0.002
288 7.9 0.013
288 20.1 0.017
288 59.4 0.021
288 79.7 0.016
288 100.8 0.015
288 119.4 0.01
288 159.6 0.006
288 200 0.004
288 249.7 0.002
288 299.6 0.003
288 499.9 0.002
288 3.1 0.012
288 20.8 0.013
288 59.6 0.012
288 80.1 0.011
288 100.7 0.01
288 119.5 0.009
288 162.2 0.005
288 201.4 0.005
288 249.8 0.003
288 301.4 0.004
289 4.7 0.007
289 20.2 0.007
289 60.6 0.01
289 79.3 0.011
289 99.6 0.012
289 120.3 0.008
289 159.3 0.005
289 198.9 0.005
289 249.9 0.002
289 299.2 0.002
289 498.3 0.002
290 5.6 0.008
290 20.2 0.01
290 59.7 0.011
290 79.9 0.01
290 100.3 0.011
290 120 0.007
290 160.3 0.004
290 199.9 0.006
290 249 0.004
290 298.9 0.004
290 499.7 0.003
290 4.2 0.015
290 20.3 0.013
290 58.7 0.015
290 79.8 0.012
290 101.6 0.013
290 120.6 0.011
290 159.6 0.005
290 200.3 0.004
290 250.9 0.003
290 300.5 0.003
291 4.6 0.012
291 20.6 0.012
291 58.7 0.006
291 78.8 0.011
291 98.9 0.011
291 120.3 0.005
291 158.3 0.004
291 199.6 0.003
291 249.8 0.003
291 299.9 0.003
271 79.6 0.012
271 99.7 0.007
271 119.9 0.004
271 149.8 0.002
271 199.8 0.003
271 299.9 0.002
271 6.2 0.008
271 38.6 0.007
272 4.6 0.013
272 20.7 0.011
272 39.6 0.015
272 79.6 0.012
272 99.7 0.009
272 119.7 0.006
272 202.4 0.004
272 300.7 0.003
273 5.3 0.021
273 20.1 0.012
273 40.2 0.014
273 80.3 0.017
273 100 0.011
273 120.6 0.005
273 150.6 0.004
273 199.3 0.003
273 300.2 0.003
273 199.6 0.015
273 5.9 0.018
273 60.6 0.018
273 69.8 0.009
273 80.5 0.007
273 99.5 0.005
273 120.2 0.003
275 4.9 0.007
275 20.5 0.008
275 39.7 0.009
275 60.3 0.014
275 80.4 0.011
275 100 0.01
275 119.4 0.006
275 149.8 0.005
275 200.7 0.003
275 300.1 0.002
275 5 0.007
275 20.6 0.008
275 39.2 0.008
275 80.2 0.009
275 100.6 0.011
275 120.1 0.009
275 150.1 0.005
275 200 0.004
275 300.3 0.003
276 5.1 0.007
276 99.5 0.01
277 5.3 0.006
277 39 0.013
277 79.4 0.01
277 99.7 0.01
277 120.5 0.005
277 149.4 0.004
277 199.7 0.002
277 5.9 0.011
277 40.6 0.006
277 80.4 0.01
277 100.4 0.009
277 120.6 0.006
277 150.3 0.005
277 200.5 0.003
277 300.8 0.002
277 5.3 0.006
277 120.5 0.008
278 5.7 0.008
278 79.6 0.005
278 101.4 0.011
278 120.8 0.01
278 150.6 0.011
278 199.7 0.009
278 281.5 0.007
278 40.3 0.015
278 5.7 0.003
278 119.8 0.008
279 6.4 0.007
279 40 0.011
279 79.4 0.013
279 101.2 0.009
279 121.3 0.007
279 149.7 0.007
279 200.9 0.004
279 401.6 0.001
279 5.6 0.015
279 120.1 0.014
280 5.7 0.024
280 41.1 0.008
280 79.5 0.011
280 151 0.004
280 199.9 0.004
282 38.8 0.009
282 78.9 0.01
282 99.6 0.009
282 119.6 0.01
282 149.9 0.005
282 201.4 0.002
282 302.9 0.001
282 5.2 0.005
282 20.1 0.007
282 39.4 0.007
282 78.5 0.01
282 100.1 0.009
282 119.5 0.008
282 149.5 0.004
282 199.5 0.002
283 5 0.005
283 40.2 0.008
283 79.3 0.011
283 100.6 0.009
283 119.4 0.008
283 149.4 0.006
283 200.1 0.003
283 6.1 0.006
283 21 0.007
283 41.5 0.007
283 79.5 0.008
283 101.5 0.007
283 119.8 0.009
283 150.7 0.005
283 199.5 0.003
284 6.2 0.006
284 40 0.006
284 79.7 0.01
284 99.8 0.011
284 119.5 0.008
284 149.2 0.005
284 197.8 0.003
285 5 0.006
285 39.8 0.006
285 79.1 0.012
285 100.2 0.008
285 119.8 0.01
285 149.8 0.006
285 199.8 0.004
285 4.7 0.008
285 39.5 0.011
285 79.9 0.01
285 99.2 0.009
285 149.8 0.004
285 200.2 0.003
285 301.9 0.002
285 5.6 0.007
285 40.5 0.007
285 80.4 0.009
285 100.4 0.004
285 150 0.006
285 200 0.004
285 301.3 0.003
286 6 0.015
286 39.9 0.002
286 80.5 0.012
286 100.7 0.009
286 199.7 0.008
286 5.2 0.007
286 40.9 0.009
286 80.1 0.007
286 100.8 0.007
286 150.3 0.003
286 200.1 0.004
286 301 0.001
272 5.7 0.008
272 19.5 0.006
272 39.2 0.008
272 80.3 0.009
272 98.3 0.007
272 119.6 0.004
272 148.3 0.003
272 202.4 0.003
272 300.7 0.002
272 5.4 0.008
272 20.3 0.007
272 39.4 0.009
272 78 0.011
272 98.8 0.005
272 119.6 0.004
272 148.6 0.003
272 199.8 0.005
273 4.3 0.008
273 14.5 0.009
273 24.9 0.009
273 44.8 0.007
273 73.9 0.013
273 100.6 0.005
273 149.5 0.005
274 4.8 0.012
274 20.3 0.01
274 40.8 0.011
274 79.8 0.009
274 100.8 0.005
274 119.5 0.004
274 201 0.003
274 3.2 0.007
274 14.6 0.006
274 29.9 0.008
274 50.5 0.009
274 70.6 0.008
274 103.5 0.006
274 199.8 0.002
275 5 0.007
275 21 0.005
275 40.1 0.008
275 80.9 0.007
275 100 0.006
275 121 0.007
275 151.2 0.003
