"DOY" "Depth" "DIP"
297 59.6 0.04
297 80.2 0.04
297 99.8 0.04
297 120.9 0.04
297 150.9 0.05
297 201.3 0.1
297 341.4 0.22
297 401.8 0.32
298 3.8 0.04
298 20.4 0.04
298 40.3 0.04
298 60.8 0.04
298 80.1 0.04
298 100.1 0.04
298 120.4 0.04
298 140.4 0.04
298 149.9 0.04
298 200.8 0.05
298 401.5 0.16
298 430.2 0.19
298 345.3 0.2
298 400.8 0.3
298 200.8 0.2
298 320.4 0.27
298 401.7 0.55
299 200.6 0.05
299 315.3 0.21
299 399.7 0.39
299 499.8 0.68
299 304.6 0.17
299 399.1 0.38
299 499 0.59
299 201.9 0.04
299 297.8 0.16
299 402.9 0.33
304 149.2 0.07
304 200.3 0.11
304 300.5 0.16
304 399.9 0.28
304 499.1 0.48
304 200.2 0.08
304 318.9 0.2
304 400.4 0.28
290 149 0.07
290 201.2 0.1
290 303.3 0.14
290 397.5 0.22
290 149.9 0.04
290 199.5 0.08
290 280.1 0.12
290 400.5 0.24
290 199.2 0.1
290 299.7 0.19
290 399.7 0.27
291 151.4 0.09
291 202 0.12
291 281.5 0.16
291 401.4 0.31
291 4.6 0.04
291 19.5 0.04
291 100.4 0.04
291 118.7 0.04
291 148.7 0.04
291 198.6 0.04
291 300.3 0.14
291 398.4 0.24
291 499.3 0.38
291 280.5 0.06
291 401.1 0.13
291 498.5 0.16
292 290.2 0.1
292 401.2 0.2
292 249.8 0.09
292 400.8 0.25
292 199.7 0.08
292 280 0.19
292 399.1 0.38
293 200.4 0.06
293 300 0.22
293 399.7 0.46
293 299.9 0.1
293 399.8 0.27
293 339.5 0.26
293 400.7 0.45
293 499.5 0.56
294 4.3 0.05
294 20.2 0.05
294 59.2 0.06
294 79.1 0.06
294 99.8 0.06
294 120.3 0.06
294 150.5 0.07
294 200.2 0.1
294 299 0.3
294 401.3 0.67
298 4.6 0.06
298 19.6 0.06
298 38.8 0.06
298 60 0.05
298 79.4 0.05
298 99.1 0.05
298 119.6 0.05
298 149.3 0.06
298 199.1 0.09
298 279.3 0.25
298 398.8 0.27
298 499 0.52
299 3.7 0.05
299 20.3 0.05
299 40.3 0.05
299 60.5 0.05
299 80.3 0.05
299 100.8 0.05
299 122.5 0.05
299 148.6 0.07
299 199.7 0.15
299 282.4 0.24
299 399.7 0.37
299 118.4 0.03
299 148.1 0.06
299 200.3 0.11
299 307.5 0.19
299 401.2 0.23
300 98.6 0.03
300 119.2 0.04
300 150.3 0.04
300 200.2 0.07
300 251.2 0.12
300 394.5 0.23
300 499.6 0.55
300 119.5 0.02
300 148 0.02
300 203.1 0.05
300 274.1 0.12
300 400.8 0.21
301 121.9 0.03
301 150.9 0.07
301 200.3 0.07
301 279.3 0.12
301 404.2 0.18
301 494.7 0.46
301 202.5 0.05
301 278.5 0.2
301 400.1 0.38
302 199.7 0.02
302 309.9 0.18
302 399.7 0.31
302 200.8 0.03
302 299.7 0.18
302 400.7 0.37
302 499.4 0.68
302 199.3 0.06
302 294.4 0.22
302 400.3 0.4
302 499.7 0.59
303 249.2 0.02
303 349.2 0.26
304 2.9 0.67
304 319 0.02
304 400.1 0.26
304 499.8 0.31
304 3 0.72
304 148.6 0.03
304 199.9 0.09
304 299.2 0.18
304 400.7 0.47
299 2.6 0.035
299 19.2 0.015
299 40 0.019
299 59.9 0.016
299 80.1 0.016
299 101.2 0.032
299 120.3 0.013
299 149.6 0.033
299 197.6 0.065
299 299.3 0.123
299 400.7 0.2
300 119.7 0.03
300 149.7 0.1
300 200 0.13
300 298.3 0.15
300 398.1 0.15
300 119.7 0.03
300 151.6 0.12
300 202.8 0.13
300 299.9 0.15
300 399 0.2
300 3.9 0.008
300 19.3 0.008
300 40 0.022
300 60.6 0.019
300 80.7 0.009
300 100.4 0.015
300 121.6 0.05
300 120.5 0.078
300 150.8 0.12
300 150.4 0.091
300 201.4 0.135
300 299.4 0.123
300 401 0.19
301 150.5 0.08
301 199.1 0.13
301 249.4 0.2
