"DOY" "Depth" "TIN"
192 140.5 2.34
192 199.9 2.48
192 300.6 3.18
192 400.4 3.61
192 100.5 1.43
192 120 1.89
192 140 2.04
192 200 2.89
192 299.6 2.74
192 400.2 3.63
192 101.2 0.81
192 119.5 1.71
192 140.4 2.14
192 199.7 2.54
192 301.3 2.95
192 400.6 3.6
192 80.8 0.53
192 99.9 1.85
192 120.8 2.26
192 140.1 2.44
192 200 2.7
192 299.7 3.13
192 400.7 3.69
192 499.1 7.36
192 80.1 0.64
192 99.7 2.03
192 120.2 2.36
192 139.5 2.27
192 200.2 2.56
192 300.8 2.82
192 400.5 3.78
192 79.3 0.53
192 101.1 3.56
192 120.7 3.83
192 139.9 3.71
192 200.2 6.89
192 300 10.84
192 400.2 14.11
193 80.2 1.04
193 101.1 1.65
193 119.6 2.42
193 139.8 2.36
193 201.1 2.44
193 304.5 2.84
193 400.8 3.18
193 499.8 5.68
193 100.3 0.33
193 119.6 1.27
193 139.7 1.98
193 199.6 2.55
193 301.3 3.16
193 402.3 3.6
193 101.1 0.39
193 120.6 2.16
193 140.4 2.23
193 201.1 2.81
193 299 3.88
193 401.8 5.31
193 499.8 9
193 80.4 0.2
193 100.8 1.23
193 120.3 2.45
193 141 2.4
193 202.3 3.02
193 301.5 3.52
193 400.5 5.12
193 499.2 9.61
194 119.3 0.74
194 140.2 1.47
194 202.5 2.92
194 300.5 2.63
194 400.3 3.73
203 100.5 0.92
203 122.3 1.91
203 139.5 2.3
203 199 2.9
203 300.6 3.17
203 495.1 8.08
203 100.3 0.37
203 121 0.94
203 141.2 1.63
203 200.7 2.99
203 300.9 3.16
203 100.4 0.76
203 121 1.67
203 140.1 2.61
203 199.7 2.57
203 301.1 3.28
203 100.5 0.93
203 120.2 1.93
203 140.6 2.33
203 200.2 3.07
203 301.6 3.39
203 100.1 0.2
203 120.4 1.23
203 140 1.59
203 199.7 2.57
203 301.3 3.16
203 498.8 6.82
203 121 1.41
203 140.3 1.88
203 198.8 2.57
203 300.3 3.04
204 120.4 0.31
204 140.2 1.58
204 199.5 2.47
204 299.3 3.22
204 100.1 0.57
204 119.3 1.43
204 140.3 2.45
204 199.9 2.69
204 298.8 3.24
204 99.6 0.29
204 120.1 1.17
204 140.5 2.23
204 200.4 3.42
204 300.9 2.95
204 100.7 1.17
204 119.8 2.26
204 140.4 2.54
204 200.3 2.81
204 300.4 3.45
204 80.8 1.11
204 99.9 2.22
204 120.4 2.48
204 139.9 2.63
204 200.2 2.52
204 300.8 3.39
204 499.7 8.25
204 79.9 0.25
204 100.1 2.07
204 120.6 2.68
204 139.7 2.91
204 199.3 2.86
204 300.1 3.46
204 499.9 9.68
205 79.5 0.43
205 99.6 2.72
205 118.9 2.68
205 140.1 2.86
205 200.6 3.43
205 299.7 4.21
205 100 2.22
205 119.8 3.42
205 139.7 3.83
205 199.1 4.59
205 299.6 4.72
205 499.9 13.66
205 80.5 0.74
205 99.4 2.82
205 120.7 3.58
205 140.8 3.71
205 201.1 4.07
205 300.3 3.93
205 80.2 0.69
205 120.4 2.29
205 140.6 2.64
205 199.6 3.18
205 300.6 3.92
205 79.8 0.67
205 100.2 2.17
205 120.5 2.26
205 139.8 2.35
205 200.7 2.62
205 300.5 2.84
205 100.3 1.02
205 120.8 1.92
205 141.2 2.36
205 201.8 2.65
205 299.9 3.49
206 100.1 0.95
206 120.1 1.89
206 140.2 2.31
206 200.4 2.63
206 299.7 3.43
206 499.9 8.59
206 100.4 0.87
206 119.1 2.09
206 140.2 2.46
206 199.9 3.26
206 301.6 3.54
206 79.9 0.37
206 100.7 3.26
206 121.1 3.85
206 141.4 4.14
206 200.1 4.11
206 303.3 5.53
206 78.8 1.42
206 99.3 4.24
206 119.8 4.41
206 140 4.43
206 199.2 6.03
206 300.9 10.13
206 80.1 0.52
206 100.2 3.5
206 119.5 4.86
206 140.4 3.91
206 201 4.75
206 300.4 8.38
206 499.6 16.2
206 99.1 1.56
206 119.7 2.52
206 140.4 3.14
206 201.1 3.22
206 297.9 4.05
207 101 0.86
207 120.3 1.81
207 140.8 2.08
207 200 2.95
207 299 3.54
207 100.9 1.97
207 119.4 3.84
207 140.3 4.3
207 199.9 3.86
207 299.8 7.35
207 499.6 15.26
207 81.4 1.34
207 100.9 3.87
207 120.4 4.16
207 139.1 3.3
207 200.4 5.33
207 300.2 9.76
207 499.3 17.6
207 80.2 0.56
207 100.3 2.67
207 118.7 3.43
207 140.4 3.9
207 201.2 4.3
207 301.1 4.65
207 80.1 0.93
207 100.3 1.84
207 120 2.37
207 141.9 2.48
207 201.1 2.98
207 301.3 3.25
208 99.9 0.2
208 120.2 1.66
208 140.3 2.32
208 200.9 2.63
208 300.4 3.42
208 100.3 1.41
208 118.9 2.52
208 139.9 2.71
208 200.1 2.97
208 300 3.36
208 80.9 0.56
208 99.1 2.37
208 120.2 2.92
208 141.1 3.18
208 201.1 3.36
208 299.9 3.83
208 499.8 10.52
208 99 2.27
208 121.3 3.39
208 140.1 3.82
208 201.2 4.27
208 299.3 4.39
208 499.5 12.74
208 79.9 0.9
208 100.5 3.71
208 120 4.15
208 140.4 4.05
208 199.8 4.95
208 301.6 9.69
34 4.7 0.11
34 18.9 0.11
34 60.5 0.11
34 79.4 0.11
34 102.3 0.79
34 122.8 1.91
34 140.9 2.2
34 199.9 3.27
34 299.4 3.67
34 401.6 4.49
34 3.3 0.11
34 10 0.09
34 19.5 0.08
34 41.1 0.06
34 60.8 0.06
34 79.6 0.06
34 100 0.7
34 115.2 0.9
34 140.5 1.27
34 159.9 2.08
34 202.9 3.55
34 251.1 4.04
35 5 0.15
35 19.2 0.15
35 59.4 0.17
35 80.7 0.15
35 98.8 0.17
35 120.2 0.25
35 140 0.37
35 199.7 2.71
35 301.6 3.25
35 400.2 4.28
35 140.6 0.43
35 200.8 2.85
35 301.5 3.55
35 399.6 4.29
35 100.1 0.12
35 118.8 0.8
35 140.5 0.84
35 199.4 2.12
35 300.4 2.91
35 401.1 4.24
35 5.2 0.07
35 20.3 0.07
35 59.4 0.07
35 80.5 0.07
35 100.5 0.19
35 118.8 0.06
35 139.7 0.57
35 200.5 2.72
35 301 3.69
35 397.3 4.24
35 78.5 0.06
35 99.8 0.13
35 120 0.18
35 139.9 0.62
35 200.6 2.61
35 299.7 3.37
35 401.2 4.55
